t;v
1.70410860;0.18830735
1.71515330;0.16613141
1.72625750;0.16369670
1.73735680;0.17273054
1.74864200;0.17359283
1.75979680;0.17058442
1.77087910;0.15141389
1.78218120;0.15948628
1.79312360;0.15558958
1.80407100;0.16029523
1.81521390;0.15793228
1.82640080;0.15812224
1.83751620;0.16334172
1.84862790;0.15610730
1.85992810;0.16087290
1.87090600;0.16322641
1.88207030;0.16510297
1.89318970;0.16716397
1.90440840;0.16196673
1.91546890;0.16126647
1.92651490;0.16352105
1.93775360;0.18175164
1.94885290;0.15992272
1.96004060;0.14215673
1.97101510;0.12814835
1.98220760;0.10466601
1.99337050;0.09016790
2.00447100;0.07171055
2.01576280;0.05714138
2.02676070;0.03911704
2.03791960;0.02643389
2.04906240;0.02590516
2.06131370;0.01256812
2.07122640;0.01085628
2.08235180;0.00395999
2.09363290;-0.00087757
2.10485620;-0.00308882
2.11587400;-0.00272404
2.12692030;0.00256854
2.13836710;0.00299951
2.14912870;0.00591228
2.16031390;0.00786200
2.17156160;0.01558800
2.18265150;0.02922296
2.19374480;0.03097677
2.20480550;0.04462336
2.21619540;0.01656077
2.22710040;0.02063055
2.23850920;0.02085401
2.24962800;0.01815490
2.26088070;0.02027137
2.27192130;0.01796613
2.28296640;0.02108930
2.29547520;0.01999351
2.30536820;0.02171751
2.31612000;0.02288516
2.32730320;0.02511155
2.33859060;0.02927555
2.34952560;0.03319126
2.36080130;0.03668824
2.37192860;0.03944263
2.38305100;0.04683317
2.39400200;0.04835390
2.40540120;0.05155192
2.41640040;0.05509589
2.42748250;0.05710320
2.43877560;0.06528625
2.44979200;0.06889531
2.46091860;0.07157480
2.47207730;0.08276929
2.48324810;0.08466987
2.49405340;0.09793818
2.50533310;0.10195271
2.51646770;0.11049580
2.52754350;0.03878680
2.53869480;0.14806016
2.54977570;0.16604193
2.56101610;0.14704624
2.57223440;0.15954219
2.58318020;0.10301770
2.59480350;0.12070126
2.60575170;0.15669942
2.61643380;0.16556714
2.62746230;0.16743650
2.63861570;0.16897762
2.64967110;0.17521191
2.66082020;0.17428791
2.67211730;0.17328073
2.68298270;0.17374169
2.69473080;0.16569622
2.70544610;0.16428320
2.71622240;0.15327492
2.72730760;0.10198567
2.73870690;0.12273217
2.74973580;0.13392610
2.76073910;0.15256755
2.77209570;0.14574458
2.78286970;0.14965567
2.79558820;0.14239396
2.80509990;0.24412267
2.81593850;0.17808217
2.82702250;0.13162384
2.83825850;0.14543313
2.84939570;0.14277890
2.86061310;0.19506809
2.87170540;0.20195004
2.88283860;0.21553272
2.89387410;0.15437452
2.90532190;0.16940657
2.91649940;0.15330713
2.92734730;0.11107869
2.93876470;0.12202096
2.94966430;0.07913017
2.96074190;0.07773811
2.97195470;0.04501652
2.98320910;0.02654682
2.99432540;0.02847022
3.00530570;0.05045551
3.01641430;0.04613826
3.02751680;0.04770367
3.03878420;0.03980858
3.04964030;0.04343045
3.06094000;0.03898023
3.07247380;0.03900559
3.08311410;0.04530974
3.09409890;0.03545621
3.10561280;0.06142150
3.11661310;0.06456392
3.12755350;0.04238381
3.13875600;0.04321658
3.14977950;0.04209223
3.16090380;-0.01888342
3.17213430;0.01780475
3.18329860;-0.02297973
3.19434930;-0.03662833
3.20551610;-0.01810072
3.21679010;-0.05397608
3.22772100;-0.02965232
3.23884950;-0.05747381
3.25006450;-0.04969657
3.26114020;-0.05477200
3.27225630;-0.08720937
3.28338630;-0.06983319
3.29485950;-0.06923261
3.30554270;-0.06746447
3.31651590;-0.07007324
3.32809830;-0.06708886
